iter	Passed	Remaining
409	3508	5048
410	3521	5047
411	3533	5043
412	3547	5041
413	3560	5040
414	3570	5033
415	3580	5026
416	3590	5019
417	3599	5012
418	3609	5004
419	3618	4997
420	3637	5002
421	3642	4989
422	3647	4975
423	3652	4961
424	3657	4948
425	3664	4938
426	3674	4931
427	3680	4919
428	3685	4905
429	3690	4892
430	3695	4878
431	3700	4865
432	3705	4852
433	3710	4839
434	3715	4825
435	3724	4817
436	3733	4810
437	3743	4803
438	3757	4801
439	3766	4793
440	3773	4783
441	3778	4770
442	3783	4757
443	3788	4744
444	3793	4731
445	3798	4718
446	3803	4705
447	3808	4693
448	3814	4680
449	3818	4667
450	3824	4655
451	3829	4643
452	3835	4631
453	3840	4618
454	3848	4609
455	3853	4597
456	3858	4584
457	3865	4574
458	3870	4561
459	3875	4549
460	3881	4537
461	3886	4526
462	3891	4513
463	3897	4501
464	3902	4489
465	3911	4482
466	3919	4473
467	3924	4461
468	3929	4448
469	3935	4437
470	3940	4425
471	3945	4413
472	3950	4401
473	3955	4389
474	3968	4386
475	3990	4393
476	4004	4390
477	4013	4383
478	4019	4371
479	4024	4360
480	4029	4347
481	4034	4336
482	4040	4324
483	4045	4312
484	4050	4300
485	4055	4289
486	4061	4278
487	4067	4267
488	4072	4255
489	4077	4244
490	4082	4232
491	4087	4220
492	4092	4208
493	4097	4197
494	4102	4185
495	4107	4173
496	4112	4162
497	4117	4150
498	4123	4139
499	4127	4127
500	4132	4116
501	4138	4105
502	4143	4093
503	4148	4082
504	4153	4071
505	4159	4060
506	4164	4049
507	4169	4038
508	4175	4028
509	4181	4017
510	4186	4006
511	4191	3995
512	4196	3984
513	4202	3973
514	4208	3962
515	4213	3952
516	4218	3941
517	4223	3930
518	4229	3919
519	4234	3908
520	4244	3902
521	4254	3895
522	4267	3891
523	4277	3885
524	4282	3875
525	4288	3864
526	4293	3853
527	4298	3842
528	4303	3831
529	4310	3822
530	4315	3811
531	4320	3800
532	4325	3790
533	4330	3779
534	4335	3768
535	4340	3757
536	4345	3746
537	4351	3736
538	4355	3725
539	4361	3715
540	4367	3705
541	4372	3694
542	4377	3684
543	4382	3673
544	4392	3666
545	4404	3662
546	4415	3656
547	4425	3650
548	4434	3642
549	4444	3636
550	4454	3630
551	4464	3623
552	4476	3618
553	4489	3614
554	4498	3606
555	4503	3596
556	4509	3586
557	4514	3576
558	4520	3566
559	4525	3555
560	4530	3545
561	4536	3535
562	4541	3524
563	4546	3514
564	4551	3504
565	4556	3494
566	4562	3484
567	4567	3473
568	4571	3463
569	4576	3452
570	4582	3442
571	4587	3432
572	4593	3422
573	4598	3412
574	4603	3402
575	4608	3392
576	4613	3381
577	4618	3371
578	4627	3365
579	4636	3357
580	4644	3349
581	4653	3342
582	4659	3332
583	4664	3322
584	4669	3312
585	4674	3302
586	4679	3292
587	4685	3282
588	4690	3273
589	4695	3263
590	4701	3253
591	4708	3245
592	4714	3235
593	4719	3225
594	4725	3216
595	4730	3206
596	4736	3197
597	4741	3187
598	4746	3177
599	4750	3167
600	4759	3160
601	4769	3153
602	4778	3146
603	4790	3141
604	4796	3131
605	4802	3122
606	4807	3112
607	4813	3103
608	4819	3094
609	4824	3084
610	4829	3074
611	4834	3065
612	4840	3055
613	4845	3046
614	4850	3036
615	4855	3026
616	4861	3017
617	4866	3008
618	4871	2998
619	4876	2989
620	4882	2979
621	4891	2972
622	4896	2962
623	4900	2953
624	4905	2943
625	4910	2933
626	4915	2924
627	4920	2914
628	4925	2905
629	4930	2895
630	4936	2886
631	4941	2877
632	4946	2868
633	4952	2858
634	4957	2849
635	4987	2854
636	4997	2848
637	5004	2839
638	5009	2830
639	5015	2821
640	5020	2811
641	5025	2802
642	5030	2793
643	5035	2783
