iter	RMSE
183	622.7635219
184	622.0280698
185	621.2017535
186	620.6761189
187	619.9888646
188	619.6557535
189	619.2239207
190	618.3327274
191	617.8669415
192	617.482726
193	617.1978472
194	616.1388282
195	615.8305032
196	615.4232872
197	614.4891045
198	613.9746551
199	613.7468284
200	613.6953371
201	612.6116564
202	612.3995859
203	611.9567768
204	611.7452434
205	611.104435
206	610.406986
207	609.1714529
208	608.8222001
209	608.4806692
210	608.3926883
211	608.107349
212	607.7324748
213	607.5648608
214	607.4027496
215	607.1454133
216	607.0047898
217	606.8419697
218	606.6626458
219	606.1158368
220	605.8988332
221	605.3716911
222	604.5225782
223	604.2702878
224	603.9845802
225	603.2510835
226	602.557951
227	602.1546966
228	601.6185438
229	601.3470896
230	600.7291667
231	600.3306258
232	600.1885814
233	599.9951385
234	599.3126736
235	598.561742
236	598.4252376
237	598.2480215
238	598.1633481
239	597.9468662
240	597.3131047
241	596.987861
242	596.6046844
243	596.3190723
244	596.2090665
245	595.8165834
246	595.6290575
247	595.2974604
248	595.116909
249	594.4674416
250	594.4556753
251	594.3999618
252	593.4999057
253	592.9831345
254	592.7055015
255	592.429306
256	592.3515771
257	592.2118125
258	591.8974049
259	591.6237448
260	591.5945557
261	591.3975665
262	590.9384375
263	590.5031385
264	590.3444762
265	590.0515869
266	590.0401459
267	589.4678919
268	589.3973185
269	589.3924052
270	589.387413
271	588.9620497
272	588.4818317
273	588.3089828
274	588.1566207
275	588.0537413
276	587.8424508
277	587.828921
278	587.7247496
279	587.5396585
280	586.977723
281	586.8807078
282	586.6924237
283	586.3091718
284	586.1199564
285	585.8752456
286	585.605706
287	585.4306242
288	585.3510187
289	584.922619
290	584.6056468
291	584.4664334
292	584.108135
293	583.769817
294	583.4664453
295	583.1171661
296	582.7881236
297	582.6372215
298	582.3233906
299	581.9916534
300	581.9267742
301	581.5430925
302	581.4572172
303	581.182929
304	581.1238844
305	581.0280607
306	580.683995
307	580.6104027
308	580.5573376
309	579.9797021
310	579.7564166
311	579.3378892
312	579.2872937
313	579.1372339
314	578.9220791
315	578.8328084
316	578.8166789
317	578.4855203
318	578.2917905
319	578.1914802
320	578.0395992
321	577.4995264
322	577.4769017
323	577.0979147
324	576.6776908
325	576.292473
326	576.1412309
327	576.0872478
328	575.4365459
329	575.4307921
330	575.0816281
331	575.068999
332	574.9800924
333	574.9380585
334	574.6781584
335	574.6603114
336	574.0223271
337	573.9731186
338	573.7745566
339	573.7675039
340	573.0918761
341	573.0175437
342	572.9066663
343	572.7326941
344	572.6336052
345	572.6229779
346	572.4414804
347	572.3347814
348	571.7984974
349	571.6722216
350	571.3031178
351	571.1062498
352	570.9945331
353	570.8201961
354	570.798243
355	570.7464228
356	570.6339451
357	570.3220771
358	570.3044234
359	570.0465533
360	569.9051771
361	569.8926024
362	569.7095596
363	569.6728576
364	569.5208637
365	569.5103238
366	569.4412472
367	569.1036791
368	569.025368
369	568.897105
370	568.8371327
371	568.7029626
372	568.2039883
373	567.7746107
374	567.5352144
375	567.4613563
376	567.4553016
377	567.0746078
378	566.7395602
379	566.7383204
380	566.6623192
381	566.5652815
382	566.546135
383	566.4694089
384	566.2260518
385	566.1401246
386	565.9460048
387	565.8992224
388	565.8155202
389	565.7642764
390	565.6510237
391	565.6414853
392	565.5207187
393	565.3645302
394	565.0290916
395	564.6299349
396	564.615075
397	564.5937592
398	563.9741492
399	563.9621941
400	563.9611291
401	563.5783293
402	563.2042015
403	563.0796058
404	562.9589486
405	562.9224519
406	562.6195753
407	562.4531304
408	562.4370376
409	562.210544
410	562.0776373
411	561.8160828
412	561.6014203
413	561.4695044
414	561.4521116
415	561.4247318
416	561.3346295
417	561.2852219
418	561.2779854
419	561.2731618
420	561.2638903
421	561.1810325
422	561.1360079
423	561.1251835
424	560.7444693
425	560.6982008
426	560.6480016
427	560.3331432
428	560.08674
429	560.0473562
430	560.0379119
431	559.9035516
432	559.6071662
433	559.5720424
434	559.4424192
435	559.3283539
436	559.3017339
437	559.1722298
438	559.1498381
439	559.1463934
440	559.0609906
441	558.7939058
442	558.7813924
443	558.5179176
444	558.5138846
445	558.4871581
446	558.3811761
447	558.3730031
448	558.3650698
449	558.3497309
450	558.2130651
451	557.9873694
452	557.8704491
453	557.8651663
454	557.6291657
455	557.5723072
456	557.570127
457	557.5663808
458	557.5460355
459	557.4226978
460	557.115271
461	557.1101849
462	557.1089085
463	557.0990055
464	557.017659
465	557.0089089
466	556.961503
467	556.9066667
468	556.9022822
469	556.8985091
470	556.8160651
471	556.7765355
472	556.7154602
473	556.6992412
474	556.5610163
475	556.5543047
476	556.3917482
477	556.2114338
478	556.1347898
479	556.0536757
480	556.0499123
481	556.0421429
482	555.9900489
483	555.8462097
484	555.7392123
485	555.7358836
486	555.6737913
487	555.5740744
488	555.5227431
489	555.5165806
490	555.2697517
491	555.2675165
492	555.2641241
493	555.2519659
494	554.8797705
495	554.7450076
496	554.7327255
497	554.7243304
498	554.7105319
499	554.6956683
500	554.6390349
501	554.4042221
502	554.4035971
503	554.3082465
504	554.2430307
505	554.205193
506	554.105661
507	554.0841266
508	553.7067455
509	553.6288372
510	553.6094181
511	552.9688054
512	552.9140469
513	552.8810993
514	552.7710533
515	552.516518
516	552.5133051
517	552.4947317
518	552.4297992
519	552.3579533
520	552.2463397
521	552.2133336
522	552.1606925
523	552.1584686
524	552.1237361
525	552.1135751
526	552.1044154
527	552.0150924
528	551.9739053
529	551.8831673
530	551.8278442
531	551.7996865
532	551.5505571
533	551.3771577
534	551.3435679
535	551.3355937
536	551.2983708
537	551.2494063
538	551.2343315
539	551.1084884
540	551.0422604
541	551.0159436
542	550.974686
543	550.9695371
544	550.9318161
545	550.9273576
546	550.9182111
547	550.9028352
548	550.8839864
549	550.8287465
550	550.7892081
551	550.5488833
552	550.5459625
553	550.48533
554	550.2153935
555	550.1448296
556	550.1139362
557	549.7383725
558	549.7340876
559	549.7179479
560	549.6875277
561	549.6864977
562	549.6423345
563	549.6192056
564	549.543775
565	549.5339893
566	549.4979888
567	549.4907342
568	549.4877991
569	549.4278254
570	549.3995259
571	549.3680455
572	549.3540476
573	549.3241798
574	549.2853639
575	549.103444
576	549.0886839
577	548.8068418
578	548.7660119
579	548.7439131
580	548.734285
581	548.7110943
582	548.6922776
583	548.67218
584	548.6721245
585	548.6207083
586	548.6067835
587	548.6067211
588	548.5874231
589	548.5299327
590	548.3365994
591	547.9366992
592	547.7526213
593	547.7497131
594	547.4562257
595	547.4500885
596	547.1517636
597	547.0587668
598	547.051289
599	547.0281622
600	547.0200579
601	547.013263
602	546.9543777
603	546.9208515
604	546.8618422
605	546.6925995
606	546.5294678
607	546.246284
608	546.2392865
609	546.2124916
610	546.2082738
611	546.1707808
612	545.9404957
613	545.9238803
614	545.9177215
615	545.9016457
616	545.7987646
617	545.7801013
618	545.7778503
619	545.6910669
620	545.6069957
621	545.6063342
622	545.5894019
623	545.5869038
624	545.5825904
625	545.5664241
626	545.5641691
627	545.5499876
628	545.3999905
629	545.1065089
630	544.8702843
631	544.8620401
632	544.8310636
633	544.8136778
634	544.804476
635	544.804087
636	544.7322872
637	544.7309786
638	544.7193396
639	544.5037575
640	544.4450265
641	544.3788382
642	544.3780849
643	544.3684042
644	544.358981
645	544.3586729
646	544.2752969
647	544.1985641
648	544.0200591
649	544.0187854
650	544.0044615
651	543.8916645
652	543.8880997
653	543.8705191
654	543.3073051
655	543.1093946
656	543.015081
657	542.99602
658	542.9773678
659	542.9542751
660	542.9526862
661	542.9378413
662	542.7100965
663	542.4638998
664	542.4625745
665	542.4217376
666	542.3429932
667	542.3092216
668	542.3051787
669	542.1991697
670	542.1855407
671	542.174409
672	541.9179788
673	541.7506361
674	541.7460702
675	541.644989
676	541.6446706
677	541.6330428
678	541.6233998
679	541.2622912
680	541.2569025
681	541.2443436
682	541.2130989
683	541.2121533
684	541.128113
685	541.1279631
686	541.0628222
687	541.057408
688	541.042796
689	541.0149089
690	541.0146405
691	541.0114179
692	540.9110075
693	540.9081166
694	540.8989989
695	540.883195
696	540.8734328
697	540.8409797
698	540.6706007
699	540.5998839
700	540.5390519
701	540.5144021
702	540.4950859
703	540.4709342
704	540.4695363
705	540.4686792
706	540.4683994
707	540.4650005
708	540.421446
709	540.4150897
710	540.4037476
711	540.2680279
712	540.2631063
713	540.0402086
714	540.0284802
715	540.0110453
716	539.5780092
717	539.5538254
718	539.3609657
719	539.3472176
720	539.2827581
721	539.2771568
722	539.1427554
723	539.0513643
724	538.8468234
725	538.8433764
726	538.8010641
727	538.8000852
728	538.7828586
729	538.7770465
730	538.6025638
731	538.5885082
732	538.5870636
733	538.4273134
734	538.4035208
735	538.4026364
736	538.3779974
737	538.3288995
738	538.3236914
739	538.3193642
740	538.2750882
741	538.2625095
742	538.251421
743	538.2505478
744	538.2484728
745	538.2473735
746	538.2377064
747	538.2369049
748	538.2295794
749	538.2027665
750	538.2025324
751	538.2018007
752	537.8406376
753	537.8138461
754	537.8092582
755	537.8066206
756	537.757402
757	537.4838403
758	537.4777385
759	537.3761951
760	537.3755467
761	537.2575296
762	537.2546829
763	537.2522833
764	537.1817844
765	537.1637611
766	537.16312
767	537.1565071
768	537.1563171
769	537.1427619
770	537.1425882
771	537.1424316
772	537.1418438
773	537.1395962
774	537.1375652
775	537.121926
776	537.0290173
777	537.0086105
778	537.0074113
779	536.9943681
780	536.9942062
781	536.893925
782	536.8752986
783	536.8742273
784	536.8543203
785	536.8493588
786	536.5211095
787	536.5012651
788	536.4840822
789	536.4083376
790	536.3800894
791	536.3780435
792	536.3686534
793	536.3514278
794	536.3511163
795	536.3505397
796	536.2565852
797	536.2493183
798	536.24587
799	536.2101644
800	535.93598
801	535.9158684
802	535.9004338
803	535.8995322
804	535.8936933
805	535.5343276
806	535.4163077
807	535.4139955
808	535.4139076
809	535.4095239
810	535.4089815
811	535.4084822
812	535.3887235
813	535.3747672
814	535.3454575
815	535.2149836
816	535.1734385
817	535.1636622
818	535.1582472
819	535.157542
820	535.1570738
821	535.1554303
822	535.1539371
823	535.152906
824	535.1518386
825	535.1508847
826	535.1508082
827	535.083178
828	535.053051
829	535.0501099
830	535.0495989
831	534.9820123
832	534.9743897
833	534.9655574
834	534.9632627
835	534.9621883
836	534.9603459
837	534.9524576
838	534.9444342
839	534.6865093
840	534.67134
841	534.6692846
842	534.668149
843	534.6538568
844	534.5415411
845	534.52405
846	534.4028828
847	534.3830882
848	534.2409085
849	534.2311082
850	534.1500163
851	534.1466929
852	534.1438513
853	534.142112
854	534.1412335
855	534.1367912
856	534.1314903
857	534.1275215
858	534.1259394
859	534.1200729
860	534.1199973
861	534.0916288
862	534.086245
863	533.9006571
864	533.8580918
865	533.8577406
866	533.8418837
867	533.8418252
868	533.8098541
869	533.7963478
870	533.7916624
871	533.7874519
872	533.7046371
873	533.6041829
874	533.5958512
875	533.5957905
876	533.3411313
877	533.3344102
878	533.3086567
879	533.2534484
880	533.2469777
881	533.1299457
882	533.1271951
883	533.1261142
884	533.1257977
885	533.1118061
886	533.1113938
887	533.0990695
888	533.005531
889	532.9849929
890	532.9620621
891	532.9314013
892	532.910564
893	532.9026765
894	532.6532305
895	532.6452231
896	532.6237504
897	532.5252045
898	532.2670566
899	532.2224807
900	532.189264
901	532.1891502
902	532.1861686
903	532.1809327
904	532.180805
905	532.0958172
906	531.610903
907	531.5862876
908	531.581265
909	531.5730216
910	531.572294
911	531.5490153
912	531.3730301
913	531.3619436
914	531.3518995
915	531.3301402
916	531.2796493
917	531.2493598
918	531.2479016
919	531.222213
920	531.0952186
921	531.0938432
922	531.0762496
923	531.0657207
924	531.0620036
925	531.046692
926	531.0425038
927	531.0382398
928	531.0220105
929	531.0175161
930	530.6620474
931	530.6477176
932	530.6467273
933	530.6400007
934	530.6339263
935	530.6283497
936	530.6283495
937	530.6273215
938	530.6169707
939	530.6089968
940	530.6054317
941	530.5499868
942	530.5391455
943	530.5381249
944	530.4934694
945	530.4760513
946	530.4760513
947	530.4757451
948	530.4556213
949	530.4382043
950	530.4370194
951	530.4353067
952	530.4249471
953	530.3926154
954	530.3807391
955	530.3807117
956	530.3806592
957	530.3804076
958	530.3804076
959	530.3765974
960	530.3321347
961	530.3294992
962	530.3245946
963	530.324329
964	530.324328
965	530.3224018
966	530.3206594
967	530.3176456
968	530.3172058
969	530.3170426
970	530.2976539
971	530.2973465
972	530.2824662
973	530.2592915
974	530.258971
975	530.2589145
976	530.1007677
977	530.0793758
978	530.0792027
979	530.0565408
980	529.9262828
981	529.922235
982	529.8478721
983	529.7873358
984	529.7843655
985	529.7669878
986	529.7464864
987	529.7459431
988	529.7426997
989	529.6589382
990	529.6528888
991	529.6499847
992	529.6251278
993	529.6077075
994	529.4691447
995	529.459716
996	529.4027735
997	529.3360533
998	529.3090895
999	529.3000182
